Sample ID,Replicate,Lot,Time,Average RNA Concentration,Total Cells Harvested 
AB1 P2,1,1,0,175.7933333,10000000
AB2 P2,1,1,1,152.3166667,10000000
AB3 P2,1,1,24,212.5466667,10000000
AD1 P2,1,2,0,176.6533333,10000000
AD2 P2,1,2,1,147.1633333,10000000
AD3 P2,1,2,24,209.8666667,10000000
AE1 P2,2,1,0,151.95,10000000
AE2 P2,2,1,1,111.03,10000000
AE3 P2,2,1,24,156.7233333,10000000
AF1 P2,2,2,0,135.4866667,10000000
AF2 P2,2,2,1,135.96,10000000
AF3 P2,2,2,24,219.0966667,10000000
AG1 P2,3,1,0,130.68,9600000
AG2 P2,3,1,1,115.87,7000000
AG3 P2,3,1,24,160.0866667,9900000
AH P2,3,2,0,160.34,10000000
AH2 P2,3,2,1,140.8933333,10000000
AH3 P2,3,2,24,245.7533333,10000000
