"Gene","Accession","Measure","final.mean","Time","Lot","ID","Status"
"SEPT5","NM_002688","Mean_0HR_C1",0.020085825,"0HR","C1","NM_002688.C1","Silent"
"SEPT9","NM_006640","Mean_0HR_C1",31.896175,"0HR","C1","NM_006640.C1","Active"
"AATK","NM_001080395","Mean_0HR_C1",0.011992574,"0HR","C1","NM_001080395.C1","Silent"
"ABCE1","NM_001040876","Mean_0HR_C1",5.52781,"0HR","C1","NM_001040876.C1","Active"
"ABL1","NM_005157","Mean_0HR_C1",5.3109625,"0HR","C1","NM_005157.C1","Active"
"ABL2","NM_001136000","Mean_0HR_C1",1.8369125,"0HR","C1","NM_001136000.C1","Active"
"ACLY","NM_001096","Mean_0HR_C1",13.173035,"0HR","C1","NM_001096.C1","Active"
"ACO1","NM_002197","Mean_0HR_C1",1.3533125,"0HR","C1","NM_002197.C1","Active"
"ACSL6","NM_001009185","Mean_0HR_C1",0.016319923,"0HR","C1","NM_001009185.C1","Silent"
"ACVR1B","NM_004302","Mean_0HR_C1",0.676582625,"0HR","C1","NM_004302.C1",NA
"ADAMTSL3","NM_207517","Mean_0HR_C1",0.0125504,"0HR","C1","NM_207517.C1","Silent"
"ADRBK1","NM_001619","Mean_0HR_C1",11.98679,"0HR","C1","NM_001619.C1","Active"
"AHCY","NM_001161766","Mean_0HR_C1",3.8262925,"0HR","C1","NM_001161766.C1","Active"
"AIMP2","NM_006303","Mean_0HR_C1",1.017267,"0HR","C1","NM_006303.C1","Active"
"AK2","NM_013411","Mean_0HR_C1",18.5473,"0HR","C1","NM_013411.C1","Active"
"AK3","NM_016282","Mean_0HR_C1",9.97394,"0HR","C1","NM_016282.C1","Active"
"AKT3","NM_005465","Mean_0HR_C1",15.7308,"0HR","C1","NM_005465.C1","Active"
"ALK","NM_004304","Mean_0HR_C1",0.0212174765,"0HR","C1","NM_004304.C1","Silent"
"ANGPTL4","NR_104213","Mean_0HR_C1",0.012542825,"0HR","C1","NR_104213.C1","Silent"
"APC","NM_000038","Mean_0HR_C1",2.824785,"0HR","C1","NM_000038.C1","Active"
"AR","NM_001011645","Mean_0HR_C1",0.0163306,"0HR","C1","NM_001011645.C1","Silent"
"ARAF","NM_001654","Mean_0HR_C1",1.95856,"0HR","C1","NM_001654.C1","Active"
"ATF2","NM_001880","Mean_0HR_C1",4.00035,"0HR","C1","NM_001880.C1","Active"
"ATIC","NM_004044","Mean_0HR_C1",5.78101,"0HR","C1","NM_004044.C1","Active"
"ATM","NM_138292","Mean_0HR_C1",6.0825675,"0HR","C1","NM_138292.C1","Active"
"AURKA","NM_003600","Mean_0HR_C1",0.90667025,"0HR","C1","NM_003600.C1",NA
"AURKB","NM_004217","Mean_0HR_C1",1.80000275,"0HR","C1","NM_004217.C1","Active"
"AURKC","NM_001015878","Mean_0HR_C1",0.0695412625,"0HR","C1","NM_001015878.C1","Silent"
"AXL","NM_021913","Mean_0HR_C1",0.011738174,"0HR","C1","NM_021913.C1","Silent"
"BAP1","NM_004656","Mean_0HR_C1",5.0366975,"0HR","C1","NM_004656.C1","Active"
"BIRC3","NM_182962","Mean_0HR_C1",1.12256875,"0HR","C1","NM_182962.C1","Active"
"BMI1","NM_005180","Mean_0HR_C1",1.62612,"0HR","C1","NM_005180.C1","Active"
"BMPR1A","NM_004329","Mean_0HR_C1",4.612905,"0HR","C1","NM_004329.C1","Active"
"BMPR2","NM_001204","Mean_0HR_C1",1.68738125,"0HR","C1","NM_001204.C1","Active"
"BMX","NM_203281","Mean_0HR_C1",0.013445164,"0HR","C1","NM_203281.C1","Silent"
"BRAF","NM_004333","Mean_0HR_C1",4.79782125,"0HR","C1","NM_004333.C1","Active"
"BRCA1","NM_007305","Mean_0HR_C1",2.2304075,"0HR","C1","NM_007305.C1","Active"
"BRCA2","NM_000059","Mean_0HR_C1",1.27976175,"0HR","C1","NM_000059.C1","Active"
"BRD1","NM_014577","Mean_0HR_C1",2.5961575,"0HR","C1","NM_014577.C1","Active"
"BRD2","NM_005104","Mean_0HR_C1",22.564925,"0HR","C1","NM_005104.C1","Active"
"BRD3","NM_007371","Mean_0HR_C1",3.8288825,"0HR","C1","NM_007371.C1","Active"
"BRD4","NM_014299","Mean_0HR_C1",17.68015,"0HR","C1","NM_014299.C1","Active"
"BRD7","NM_001173984","Mean_0HR_C1",2.287525,"0HR","C1","NM_001173984.C1","Active"
"BRD8","NM_001164326","Mean_0HR_C1",3.14254,"0HR","C1","NM_001164326.C1","Active"
"BRD9","NM_001009877","Mean_0HR_C1",4.857375,"0HR","C1","NM_001009877.C1","Active"
"BRDT","NM_001242805","Mean_0HR_C1",0.011287498,"0HR","C1","NM_001242805.C1","Silent"
"BTK","NM_000061","Mean_0HR_C1",19.5131016666667,"0HR","C1","NM_000061.C1","Active"
"BUB1B","NM_001211","Mean_0HR_C1",0.87973225,"0HR","C1","NM_001211.C1",NA
"C17orf75","NM_022344","Mean_0HR_C1",1.7150205,"0HR","C1","NM_022344.C1","Active"
"C1orf57","NM_032324","Mean_0HR_C1",3.929445,"0HR","C1","NM_032324.C1","Active"
"CAD","NM_004341","Mean_0HR_C1",2.4997175,"0HR","C1","NM_004341.C1","Active"
"CALCR","NM_001742","Mean_0HR_C1",0.017571075,"0HR","C1","NM_001742.C1","Silent"
"CALM3","NM_005184","Mean_0HR_C1",14.7433875,"0HR","C1","NM_005184.C1","Active"
"CAMK1D","NM_153498","Mean_0HR_C1",14.4274575,"0HR","C1","NM_153498.C1","Active"
"CAMK2D","NM_172127","Mean_0HR_C1",8.56455875,"0HR","C1","NM_172127.C1","Active"
"CAMK2G","NM_001222","Mean_0HR_C1",3.8579925,"0HR","C1","NM_001222.C1","Active"
"CAMKK2","NM_006549","Mean_0HR_C1",0.4680955,"0HR","C1","NM_006549.C1","Silent"
"CANT1","NM_001159772","Mean_0HR_C1",3.484265,"0HR","C1","NM_001159772.C1","Active"
"CARS","NM_001014437","Mean_0HR_C1",2.090795,"0HR","C1","NM_001014437.C1","Active"
