row_id,studyname,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments,year,clutch_complete,morphology_complete,isotope_complete,quality_issue
ade-001,PAL0708,1,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N1A1,Yes,2007-11-11,39.1,18.7,181.0,3750.0,Male,,,Not enough blood for isotopes.,2007.0,True,True,False,missing_isotope
ade-002,PAL0708,2,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N1A2,Yes,2007-11-11,39.5,17.4,186.0,3800.0,Female,8.94956,-24.69454,,2007.0,True,True,True,none
ade-003,PAL0708,3,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N2A1,Yes,2007-11-16,40.3,18.0,195.0,3250.0,Female,8.36821,-25.33302,,2007.0,True,True,True,none
ade-004,PAL0708,4,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N2A2,Yes,2007-11-16,,,,,,,,Adult not sampled.,2007.0,True,False,False,missing_sex
ade-005,PAL0708,5,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A1,Yes,2007-11-16,36.7,19.3,193.0,3450.0,Female,8.76651,-25.32426,,2007.0,True,True,True,none
ade-006,PAL0708,6,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A2,Yes,2007-11-16,39.3,20.6,190.0,3650.0,Male,8.66496,-25.29805,,2007.0,True,True,True,none
ade-007,PAL0708,7,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N4A1,No,2007-11-15,38.9,17.8,181.0,3625.0,Female,9.18718,-25.21799,Nest never observed with full clutch.,2007.0,False,True,True,none
ade-008,PAL0708,8,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N4A2,No,2007-11-15,39.2,19.6,195.0,4675.0,Male,9.4606,-24.89958,Nest never observed with full clutch.,2007.0,False,True,True,none
ade-009,PAL0708,9,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N5A1,Yes,2007-11-09,34.1,18.1,193.0,3475.0,,,,No blood sample obtained.,2007.0,True,True,False,missing_sex
ade-010,PAL0708,10,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N5A2,Yes,2007-11-09,42.0,20.2,190.0,4250.0,,9.13362,-25.09368,No blood sample obtained for sexing.,2007.0,True,True,True,missing_sex
ade-011,PAL0708,11,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N6A1,Yes,2007-11-09,37.8,17.1,186.0,3300.0,,8.63243,-25.21315,No blood sample obtained for sexing.,2007.0,True,True,True,missing_sex
ade-012,PAL0708,12,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N6A2,Yes,2007-11-09,37.8,17.3,180.0,3700.0,,,,No blood sample obtained.,2007.0,True,True,False,missing_sex
ade-013,PAL0708,13,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A1,Yes,2007-11-15,41.1,17.6,182.0,3200.0,Female,,,Not enough blood for isotopes.,2007.0,True,True,False,missing_isotope
ade-014,PAL0708,14,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A2,Yes,2007-11-15,38.6,21.2,191.0,3800.0,Male,,,Not enough blood for isotopes.,2007.0,True,True,False,missing_isotope
ade-015,PAL0708,15,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A1,Yes,2007-11-16,34.6,21.1,198.0,4400.0,Male,8.55583,-25.22588,,2007.0,True,True,True,none
ade-016,PAL0708,16,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A2,Yes,2007-11-16,36.6,17.8,185.0,3700.0,Female,,,Not enough blood for isotopes.,2007.0,True,True,False,missing_isotope
ade-017,PAL0708,17,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N9A1,Yes,2007-11-12,38.7,19.0,195.0,3450.0,Female,9.18528,-25.06691,,2007.0,True,True,True,none
ade-018,PAL0708,18,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N9A2,Yes,2007-11-12,42.5,20.7,197.0,4500.0,Male,8.67538,-25.13993,,2007.0,True,True,True,none
ade-019,PAL0708,19,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A1,Yes,2007-11-16,34.4,18.4,184.0,3325.0,Female,8.47827,-25.23319,,2007.0,True,True,True,none
ade-020,PAL0708,20,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A2,Yes,2007-11-16,46.0,21.5,194.0,4200.0,Male,9.11616,-24.77227,,2007.0,True,True,True,none
ade-021,PAL0708,21,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,Yes,2007-11-12,37.8,18.3,174.0,3400.0,Female,8.73762,-25.09383,,2007.0,True,True,True,none
ade-022,PAL0708,22,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,Yes,2007-11-12,37.7,18.7,180.0,3600.0,Male,8.66271,-25.0639,,2007.0,True,True,True,none
ade-023,PAL0708,23,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A1,Yes,2007-11-12,35.9,19.2,189.0,3800.0,Female,9.22286,-25.03474,,2007.0,True,True,True,none
ade-024,PAL0708,24,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,2007-11-12,38.2,18.1,185.0,3950.0,Male,8.43423,-25.22664,,2007.0,True,True,True,none
ade-025,PAL0708,25,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,2007-11-10,38.8,17.2,180.0,3800.0,Male,9.63954,-25.29856,,2007.0,True,True,True,none
ade-026,PAL0708,26,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,2007-11-10,35.3,18.9,187.0,3800.0,Female,9.21292,-24.3613,,2007.0,True,True,True,none
ade-027,PAL0708,27,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,2007-11-12,40.6,18.6,183.0,3550.0,Male,8.93997,-25.36288,,2007.0,True,True,True,none
ade-028,PAL0708,28,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,2007-11-12,40.5,17.9,187.0,3200.0,Female,8.08138,-25.49448,,2007.0,True,True,True,none
ade-029,PAL0708,29,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,No,2007-11-10,37.9,18.6,172.0,3150.0,Female,8.38404,-25.19837,Nest never observed with full clutch.,2007.0,False,True,True,none
ade-030,PAL0708,30,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,No,2007-11-10,40.5,18.9,180.0,3950.0,Male,8.90027,-25.11609,Nest never observed with full clutch.,2007.0,False,True,True,none
ade-031,PAL0708,31,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,2007-11-09,39.5,16.7,178.0,3250.0,Female,9.69756,-25.11223,,2007.0,True,True,True,none
ade-032,PAL0708,32,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,2007-11-09,37.2,18.1,178.0,3900.0,Male,9.72764,-25.0102,,2007.0,True,True,True,none
ade-033,PAL0708,33,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,2007-11-09,39.5,17.8,188.0,3300.0,Female,9.66523,-25.0602,,2007.0,True,True,True,none
ade-034,PAL0708,34,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,2007-11-09,40.9,18.9,184.0,3900.0,Male,8.79665,-25.14591,,2007.0,True,True,True,none
ade-035,PAL0708,35,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,2007-11-16,36.4,17.0,195.0,3325.0,Female,9.17847,-25.23061,,2007.0,True,True,True,none
ade-036,PAL0708,36,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,2007-11-16,39.2,21.1,196.0,4150.0,Male,9.15308,-25.03469,,2007.0,True,True,True,none
ade-037,PAL0708,37,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,2007-11-16,38.8,20.0,190.0,3950.0,Male,9.18985,-25.12255,,2007.0,True,True,True,none
ade-038,PAL0708,38,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,2007-11-16,42.2,18.5,180.0,3550.0,Female,8.04787,-25.49523,,2007.0,True,True,True,none
ade-039,PAL0708,39,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,2007-11-13,37.6,19.3,181.0,3300.0,Female,9.41131,-25.04169,Nest never observed with full clutch.,2007.0,False,True,True,none
ade-040,PAL0708,40,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,2007-11-13,39.8,19.1,184.0,4650.0,Male,,,Nest never observed with full clutch. Not enough blood for isotopes.,2007.0,False,True,False,missing_isotope
ade-041,PAL0708,41,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,2007-11-16,36.5,18.0,182.0,3150.0,Female,9.68933,-24.4228,,2007.0,True,True,True,none
ade-042,PAL0708,42,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,2007-11-16,40.8,18.4,195.0,3900.0,Male,,,Not enough blood for isotopes.,2007.0,True,True,False,missing_isotope
