record_type,species,isotope,n,model,aicc,delta_aicc,weight,r_squared,outlier_row_id,term,estimate,std_error,conf_low,conf_high,eligibility,sample_policy,size_metric,model_strategy,outlier_policy,uncertainty_method,universe
candidate,Adelie,delta_13c,125,null,215.21465850995486,145.92208988404607,9.189062277591033e-33,-2.220446049250313e-16,ade-119,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_13c,125,sex,217.28029243363952,147.98772380773073,3.2713309879865636e-33,1.6512534346535546e-06,ade-119,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_13c,125,size,210.4926678476713,141.2000992217625,9.741782723342776e-32,0.05285458848992142,ade-119,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_13c,125,year,69.29256862590879,0.0,0.4465297583358256,0.6990175535363343,ade-119,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_13c,125,sex_year,71.15015088794677,1.8575822620379796,0.1763930802305427,0.6996847627062315,ade-119,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_13c,125,size_year,70.79993731942794,1.5073686935191546,0.21015002897832918,0.7005249809008355,ade-119,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_13c,125,sex_x_year,74.58130833855013,5.288739712641345,0.0317259890798272,0.7019522451150584,ade-119,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_13c,125,size_x_year,71.68205347713267,2.3894848512238838,0.13520114337547526,0.7087856231755385,ade-119,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_13c,125,full_average,,,,,ade-119,Intercept,-25.05364494596346,0.05880550424968638,-25.168903734292844,-24.938386157634074,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_13c,125,full_average,,,,,ade-119,sex[Male],0.006111503743277464,0.033298328893316936,-0.059153220887623724,0.07137622837417865,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
