universe,species,isotope,n,top_model,top_weight,sex_evidence_weight,size_evidence_weight,sex_minus_size_weight,outlier_row_id,eligibility,sample_policy,size_metric,model_strategy,outlier_policy,uncertainty_method
baseline,Adelie,delta_13c,125,year,0.4465297583358256,0.20811906931036991,0.3453511723538043,-0.1372321030434344,ade-119,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
baseline,Adelie,delta_15n,126,sex_year,0.4642605174518742,0.752218437347149,0.08923931988023445,0.6629791174669145,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
baseline,Chinstrap,delta_13c,54,year,0.2713567425376887,0.31499718748560346,0.2665523784937442,0.04844480899185927,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
baseline,Chinstrap,delta_15n,53,sex_year,0.8839748862404145,0.9710095962192807,0.009746683613825958,0.9612629126054548,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
baseline,Gentoo,delta_13c,111,size_year,0.694134723257744,0.1123368712826534,0.8187419552594232,-0.7064050839767697,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
baseline,Gentoo,delta_15n,111,sex_year,0.4720582074219009,0.7623091730556704,0.20890352364294765,0.5534056494127227,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic
body_mass,Adelie,delta_13c,125,size_x_year,0.3738342018334893,0.161117943916107,0.4931955373097112,-0.3320775933936042,ade-119,complete_clutch_only,endpoint_complete_cases,body_mass,paper_aicc_candidates,paper_like_single_exclusion,analytic
body_mass,Adelie,delta_15n,126,sex_year,0.4751345453462421,0.7698370888647609,0.06790725163744546,0.7019298372273154,,complete_clutch_only,endpoint_complete_cases,body_mass,paper_aicc_candidates,paper_like_single_exclusion,analytic
body_mass,Chinstrap,delta_13c,54,year,0.2996912018980793,0.34788848373267783,0.1899674312018681,0.15792105253080974,,complete_clutch_only,endpoint_complete_cases,body_mass,paper_aicc_candidates,paper_like_single_exclusion,analytic
body_mass,Chinstrap,delta_15n,53,sex_year,0.8868128728627601,0.9741270063257599,0.0065674918648503215,0.9675595144609096,,complete_clutch_only,endpoint_complete_cases,body_mass,paper_aicc_candidates,paper_like_single_exclusion,analytic
body_mass,Gentoo,delta_13c,111,size_year,0.5286365813301862,0.2308868322491871,0.6274589518829199,-0.3965721196337328,,complete_clutch_only,endpoint_complete_cases,body_mass,paper_aicc_candidates,paper_like_single_exclusion,analytic
body_mass,Gentoo,delta_15n,111,sex_year,0.4803158287444551,0.7756440973993903,0.19506502866784592,0.5805790687315444,,complete_clutch_only,endpoint_complete_cases,body_mass,paper_aicc_candidates,paper_like_single_exclusion,analytic
bootstrap,Adelie,delta_13c,125,year,0.4465297583358256,0.20811906931036991,0.3453511723538043,-0.1372321030434344,ade-119,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,stratified_bootstrap
bootstrap,Adelie,delta_15n,126,sex_year,0.4642605174518742,0.752218437347149,0.08923931988023445,0.6629791174669145,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,stratified_bootstrap
